URL,URL Status,Uses AcroForm,Uses XFA Form,Has Fillable Form,PDF Format Version,PDF Size (mb),Creator,Producer,Total PDF Pages,Rendered PDF Pages,Creation Date,Last Modified Date,Days between Created and Modified,Days Since Last Modified,Note
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZO-mKhzCvPGOkYPdPrW7gtmKAeTFR4759iscSGS4VytK1OTgMfiExZaZ314vcITtQw,200,false,false,false,1.7,0.09,Quadient CXM AG~Inspire~14.0.293.1,,16,16,2023-11-02,2023-11-30,28,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZFQ3VApgFDcinV3TWo8ZBo_XVYvguwx_bnyen-0upGsiH-ZLX9oZJ0PxgPC5JGgNWQ,200,false,false,false,1.7,0.36,Quadient CXM AG~Inspire~14.0.293.1,,48,48,2024-02-13,2024-02-29,16,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZBiK4omlkJAxsCIkaqSN-HkWJhbShzaYu0kx-FrN2zLbkXApFExCAr9eMqFlLHOePw,200,false,false,false,1.7,0.23,Adobe Acrobat Pro (32-bit) 23.8.20533,iText® 5.1.3 ©2000-2011 1T3XT BVBA,22,22,2024-03-01,2024-03-01,0,42,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZBxVyvcEtZGfVwkzPA8yxl9bp0PS730q8EQJluZcjKUGuCq6dVNOoYaVGVz5gFIYnQ,200,false,false,false,1.7,0.12,Quadient CXM AG~Inspire~14.0.278.1,,24,24,2023-05-17,2023-05-30,13,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZEzxKSc80TPqgo1g693Q_b93xdHic2AeCO7ioJzW-M9frMJ-JF68cVXYxBrSoumMRQ,200,false,false,false,1.7,0.33,Quadient CXM AG~Inspire~14.0.293.1,,44,44,2023-08-10,2023-08-29,19,227,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZN6Sev42LAausykrDvkLHunjrGI3FhbxPFTDfESu_20lMWkA_flrOMwKugKvNaWUnQ,200,false,false,false,1.7,0.13,Quadient CXM AG~Inspire~14.0.293.1,,24,24,2023-10-26,2023-11-30,35,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZCXkxP3HeyIuFHtfagOmD1PLjO91DfIC_LYPihcsohIw_EoENA_OM7wLe3VYUn6BlA,200,false,false,false,1.7,0.4,Quadient CXM AG~Inspire~14.0.293.1,,56,56,2024-02-14,2024-02-29,15,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZFvt08g-eWsx9MJML71PGKL9j4XSAQlJnl5WUn0DaXwGRAPLHfMpq2TJoo4KeXRg7Q,200,false,false,false,1.7,0.13,Aspose Ltd.,Aspose.PDF for .NET 20.9,14,14,2023-04-11,2023-04-13,2,365,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZDaa5qOKPw4Ei973_aOKQXGGgfv7YqqzqKxsigeGqZqCD6mCwpN_kZ7ughFJzud-xw,200,false,false,false,1.7,0.12,PDFium,PDFium,6,6,2023-05-31,2023-05-31,0,317,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZOgksAiCh0VJgilJuA7-AzBVythwlMGBoQ9-LUhCawGpaZYLqL7ATBhGHqVPuVR_GQ,200,false,false,false,1.7,0.84,PScript5.dll Version 5.2.2,Acrobat Distiller 23.0 (Windows),18,18,2023-08-23,2023-08-23,0,233,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZG-rrzd1rSgnvVXJ_Udm4NGVs8BMLCtsxi5iAo7UTqoFneH8-uEj18TkRJf_3nCaVw,200,false,false,false,1.7,0.11,EO.Pdf,EO.Pdf 21.3.18.0,5,5,2023-11-28,2023-11-30,2,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMOW4PoKc7QVpukjOQWughCXiAj5sUrzIxrSX53jloveMboTUt54fpRPj0lKjZd6SQ,200,false,false,false,1.7,1.15,PScript5.dll Version 5.2.2,Acrobat Distiller 23.0 (Windows),26,26,2024-02-20,2024-02-20,0,52,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZI7VPlN0PPFrwG_oZ2fCn1DBxtx66um2ZwBxjhpi2AgNXWCvt89nQUU19oOJkrrvfg,200,false,false,false,1.7,0.14,Aspose Ltd.,Aspose.PDF for .NET 20.9,16,16,2023-04-11,2023-04-13,2,365,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZISt6beLT8ASpzKwssngTHJINrdYFW_URLSpAAVPw7WffNJfK4_NqwSPfY6phtn4FA,200,false,false,false,1.7,0.12,PDFium,PDFium,5,5,2023-05-31,2023-05-31,0,317,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZIubIeUzfLOAfjH4aEWlKnBmu9H2bd-FfN4B3dVm7n1Ot1SfvLNoA7n35ReLXiblGA,200,false,false,false,1.7,0.13,PDFium,PDFium,17,17,2023-08-23,2023-08-23,0,233,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZBnRm-kCbNgy3yFyBfl5gpqUGJ0fmOZrezJFKZclCB6j7czq-HkYtnWNxMu9h_2Q7Q,200,false,false,false,1.7,0.11,EO.Pdf,EO.Pdf 21.3.18.0,5,5,2023-11-28,2023-11-30,2,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZLmEmn3K51DgxJZ-bfudJBR2udT2mGHObY2wdAJa1S6nXNWHaW34SUnhWhXWqLyx6Q,200,false,false,false,1.7,0.17,PDFium,PDFium,25,25,2024-02-20,2024-02-20,0,52,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZBCUEjXVjmspBu0k83crXMWyO7tqQ-TA9att1t-eH4cbwnUuo0RHpSTqf0jLWPCd7g,200,false,false,false,1.7,0.19,Aspose Ltd.,Aspose.PDF for .NET 20.9,19,19,2023-06-23,2023-06-23,0,294,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZD-oywUASIZxOsShz_ikqvFZUYX5IZX_8Vea52uNIATO6QNK1jjXQ_V4A4TXlGiqkg,200,false,false,false,1.7,0.12,PDFium,PDFium,5,5,2023-05-31,2023-05-31,0,317,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZEaDdtZTxFFA6Hi6k7QUBn5736HshCuq2yxp0QZws7W2RotB9KKhv0DpYl9y9eMgLw,200,false,false,false,1.7,0.13,PDFium,PDFium,18,18,2023-08-23,2023-08-23,0,233,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZCkdRWJoiSqHqfGLwJVEg44-cVnp9Hfa7-85ePUqR_bYmigJ-GQwpST0nv_pZXnqgw,200,false,false,false,1.7,0.11,EO.Pdf,EO.Pdf 21.3.18.0,4,4,2023-11-28,2023-11-30,2,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZF0ngdvWoBF7_X-2PTgMkKjTnRdtRrouhOtNghzhVlr9Zvy9NZgU6HpuLMF-_oDXfQ,200,false,false,false,1.7,0.17,PDFium,PDFium,26,26,2024-02-20,2024-02-20,0,52,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMpk_cSys0QVLmogQn3JfHeo_tplfAO8wRnN842CJm03IcM6TqTGZ7R8MdG2KV0WkA,200,false,false,false,1.7,0.12,Aspose Ltd.,Aspose.PDF for .NET 20.9,12,12,2023-04-11,2023-04-13,2,365,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZGGrk26yfjJEJHJac9I9KPb75-rGMxwNnE_rKFni8YBTNvLtz19J1k22C97nXxOmoQ,200,false,false,false,1.7,0.12,PDFium,PDFium,6,6,2023-05-31,2023-05-31,0,317,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZDTcFqRti0UgTxjWPO0zDeaY9O5a3ZWfALSnZ51MP4CWUSYnhNWF3m9uiD03G8BhZA,200,false,false,false,1.7,0.14,PDFium,PDFium,18,18,2023-08-23,2023-08-23,0,233,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZOMQb1ouP7tF-M2Uzb81GM85xxg3vZb9f6Nrdez4wQEvVlF5rqeIx-4vpPYZVS9cUw,200,false,false,false,1.7,0.11,EO.Pdf,EO.Pdf 21.3.18.0,5,5,2023-11-28,2023-11-30,2,134,
